,class,samples
1504,running,"[-6.7947440000000014 7.790094100000002 37.660793 16.05312275 4.8961425
 11.534787092261372 0.4882295605350553 -15.701175 8.005731766666667
 35.11336 18.631677 8.195352999999999 13.860398025695385
 -0.697440192337555 -12.770672 -1.306436 12.162544 7.208940999999999
 -2.530671 6.5499806549305255 -0.33477487096090375]"
6093,walking,"[-13.575124 -4.199270133333333 3.308787 3.8355112499999997 -3.1531635
 4.064974343782247 0.18990536235623434 -21.538239 -9.898427966666667
 10.070012 5.851429750000001 -10.7595425 6.397388537394102
 1.4049282537262382 -21.078552 -1.1814586333333332 24.17186
 3.1232362499999997 -1.1348515 7.7432467989878955 3.44319796357333]"
4316,idle,"[-1.728614 -0.07900856666666668 2.341529 0.870293 0.234632
 0.8568439402615345 1.0715233516970475 -0.995988 2.8208485000000008
 7.015011 5.7508725 1.1899185 3.0341871365635176 -1.8677952477610287
 6.129156 8.679140899999998 10.515334 2.00155275 9.457096499999999
 1.2967539224278277 -1.2348519519896684]"
1872,running,"[-4.58729 6.188851866666666 31.747114 12.847286749999999 4.936844
 9.509670834170066 -0.16043863822934945 -12.363658 9.466673566666666
 31.349676 11.123463000000001 10.345346 10.622586835135541
 -0.21922555363151597 -7.752425 -0.05586453333333328 8.269573
 5.771223000000001 -0.308852 4.258351602511483 -0.7487925617632025]"
3455,idle,"[-1.072602 0.23702603333333333 3.739743 0.976834 -0.1843535
 1.0344005179206128 2.6431744013044334 4.400543 7.067204866666666 9.916783
 0.5147525000000011 6.976704 0.7836196400311712 7.374568584666971 2.901773
 6.486850333333333 7.307103999999999 0.741005750000002 6.722919
 0.8692960731471311 7.669703287143387]"
2408,running,"[-6.847417 6.0630766666666664 26.791117 13.151350249999998 5.5282125
 9.832655775573578 -0.3825000833856449 -12.382812 7.0847621 30.775068
 15.36838 7.067684 12.177086666502856 -0.4662163489733846 -8.379706
 -1.5996458333333337 7.426814 6.211756000000001 -1.970428
 3.8342951264975773 -0.5967097357363631]"
3599,idle,"[-0.972046 -0.056822399999999974 1.249773 0.679953 -0.014365
 0.48079276490185807 0.17584069421752835 -2.284068 5.478731766666667
 7.876924000000002 1.29047425 6.7301015 2.811253977268954
 1.3011058223530272 4.64954 7.201918533333332 9.77792 1.2270285000000003
 6.8115045 1.2833548141043387 -0.19428402921654397]"
21,running,"[-8.63828 5.819985166666668 26.00103 15.76940925 6.540959
 9.390329724187943 -0.86815693778528 -13.833697 7.480603199999998
 34.261024 15.767013999999998 8.329427499999998 12.581595612983394
 -0.599921890686451 -36.67438 2.3983518666666663 36.521152
 15.072696250000003 -1.067814 13.098266803560831 1.8141070618958839]"
1919,running,"[-2.451662 4.954720733333334 22.041021 4.8698060000000005 3.485958
 5.987913371347407 0.7697220935927169 -12.406754 5.080815166666667 23.9899
 17.25740525 6.6750345 10.212005903660293 -1.1506232765298658 -9.433155
 1.6548723333333333 22.380997 7.44836225 1.0103535 6.806626099213605
 1.2047105371363553]"
1816,running,"[-12.186486 2.7362535666666665 19.88624 14.264654 2.6144684999999996
 8.469165728234927 -0.9454749694331532 -10.127473 9.802021400000001
 28.09835 17.639280749999998 8.856152 11.451395928750422
 -0.9690244294998904 -9.864111 1.3447433000000002 13.469779
 3.8534677500000005 0.790087 5.296002760338494 -0.05662129610443056]"
1910,running,"[-7.8242509999999985 5.274107333333333 22.768858 10.6937025 4.9224795
 7.889229087204386 -0.4247513302340482 -14.279019 9.4163954 32.407913
 17.42619775 8.561665499999998 12.54157922085508 -0.7305118597759885
 -6.440402 1.9172768999999998 15.318103 6.6067995 1.199495
 4.62028604707776 0.5407291884238448]"
643,running,"[-6.660669 4.9267884 26.9635 10.260350999999998 2.6503815
 8.222913229085496 0.18451867214296014 -13.441049 6.3258001 28.060043
 15.30972275 6.217741999999999 10.574183662399712 -0.6147373340902265
 -9.442732 0.8496224666666667 21.38022 6.2033760000000004 0.624887
 6.656933177100502 1.9581177578029463]"
3890,idle,"[-0.8619129999999999 -0.24085669999999998 0.488417 0.37708675 -0.260968
 0.33416325405477587 -0.4845353414256577 4.563349 5.9173496
 7.1395100000000005 0.7505822499999999 6.016629 0.6386381429506386
 -0.2332329006641185 6.378154 7.674055133333332 10.237606
 0.8343787499999982 7.608773000000001 0.8156384020945282
 1.2825525255395807]"
282,running,"[-6.981492 5.637387333333334 26.714502000000003 8.529344 4.012682
 8.545252331667912 -0.0832471490282578 -12.823344 8.027119966666666
 36.818035 27.1945395 5.2361195 14.325645217263608 -1.0415954595255887
 -7.7093289999999985 1.7632498333333333 23.831884 7.244854500000001
 0.2537855 6.883682622864485 1.5581803019653506]"
3910,idle,"[0.234632 0.25873339999999995 0.287304 0.019154000000000032 0.258574
 0.012454890858882173 -0.5279514358290833 -0.071826 -0.019792066666666667
 0.014365 0.023941999999999998 -0.019154 0.01914298572834331
 0.4043425142608301 9.744401 9.769300733333333 9.797073
 0.01795599999999986 9.768343 0.013453064077087469 -0.6619274561657975]"
301,running,"[-8.331821000000001 6.5015346 26.355371 11.876437500000002
 6.294356499999999 8.50791223388254 -0.3107699289146604 -16.548721
 8.886638333333334 32.858025 16.876727749999997 8.058883 12.38745047109118
 -0.559502298746287 -8.303091 0.6710151333333332 11.372458
 6.167463250000001 -0.6967125000000001 5.118988386166736
 -0.7441193134477824]"
742,running,"[-6.38773 5.671704399999999 22.73055 9.17577775 4.6998185
 7.577349150306523 -0.4448931524467552 -16.893488 7.6675108666666665
 33.274615999999995 13.2040225 7.4794865 11.893409364077677
 -0.34143927002957364 -8.111555000000001 0.7329451333333332 27.988218
 7.7440455 -1.283292 7.350447172535468 4.149553920354183]"
645,running,"[-20.556616 -3.541183966666667 13.522451 11.664550250000001
 -2.5785549999999997 7.880150042419419 -0.4608591465254128 -9.911995
 10.074641233333333 31.469387 19.4265525 9.4331545 12.257249916274793
 -1.0310068017449325 -5.870582 0.7291143333333334 7.972691999999999
 5.019444 0.031125000000000014 3.5488379786818602 -0.6671205409806755]"
1381,running,"[-4.007893 5.891013066666668 26.647465000000004 4.274847000000001 4.462792
 7.344426395713551 1.208551998628768 -11.420342 8.887436366666664 29.92752
 21.0725645 7.757213500000001 11.58431218386806 -1.1496234100189329
 -9.892841 1.8995596999999997 32.312145 8.47427675 1.0534485
 8.283232517237957 3.804096802197667]"
6336,stairs,"[-6.287173 2.3900519333333334 7.771578999999999 4.303577500000001 2.466028
 3.024384714011187 0.42895532409659687 -25.828648 -11.795433433333333
 -4.065354 7.183801749999997 -10.259154500000001 5.6196657518218744
 -0.42738763626094745 -38.08696 -1.5594231999999997 17.492037
 7.965509000000001 -1.9057845000000002 9.522955484295446 5.22571679065295]"
4960,walking,"[-8.125919999999999 0.7924808000000002 6.114791 3.91930825
 0.9409215000000001 3.0643685298581214 0.6817748574966469
 -22.270864000000003 -10.446380699999999 0.09098 6.051345499999998
 -11.03727 4.965647422771101 -0.26463034968476506 -22.409727
 0.5497089333333335 34.035973 5.085285 -0.9265559999999999
 10.281690215315955 3.271189741738981]"
2547,running,"[-11.980585 5.240269166666667 28.562826 11.766304250000001
 1.9153615000000002 9.921674113315591 -0.12799111226585502 -14.111424
 9.135316 29.611486 11.340136999999995 9.404424499999998
 12.743548615254234 -0.6872945050229942 -24.339455 -0.31491719999999973
 14.791378 7.4663185 -2.0207065 7.7494850071740835 1.5533775187744796]"
1277,running,"[-12.061988 6.8619417333333335 33.303345 15.1457205 5.2289365
 11.582899901798225 -0.3210899910997118 -13.096283 8.1556089 35.36715
 23.201011750000003 4.546589 14.814653943582746 -1.0191599722683666
 -22.807165 -2.1784041666666667 10.754754 5.43842925 -1.5275005000000001
 6.321870254286643 2.288880090168621]"
1245,running,"[-8.312667999999999 6.574956800000001 27.811047 10.88045 5.3462525
 8.430963088824406 0.013244732007398508 -16.960526 8.549375033333332
 31.057585 16.144102 9.174580500000001 13.046627162740176
 -0.7668439760649153 -14.264654 0.7102798999999997 15.346832999999998
 6.0872575 0.804452 5.866484443347846 0.6006651375075589]"
5547,walking,"[-12.29662 -3.3695994000000002 1.872266 5.194220249999999
 -1.9393034999999998 3.6717390726259183 -0.6009289324912315 -19.2829
 -9.3582958 -0.957681 6.34463475 -10.82658 4.990698626899153
 -0.6284271190152637 -13.201628 -0.41291983333333326 16.132132000000002
 3.4596215 -0.5051765 4.908326712254154 3.484248147137034]"
6112,walking,"[-18.555063 -3.9930495666666674 1.345541 4.4975075 -2.798822
 4.249993522295493 2.6970082885705073 -24.191013 -9.132602400000001
 -0.397437 6.950368250000002 -8.65025 5.542280802960929
 0.19286922344719626 -15.753847 -1.422634533333333 18.784906 5.883751
 -1.6783355 6.109958872900246 2.6224932405452632]"
5379,walking,"[-14.269443 -2.9501353333333338 2.643199 3.0178917499999995
 -1.9680335000000002 3.5064524465474824 1.8448835646782706 -21.001938
 -8.987513933333334 0.871489 6.792350499999999 -9.126697 5.458792684177506
 -0.5789577278834863 -16.754623000000002 -0.7228892000000002 20.398598
 4.49391625 -0.16041149999999998 6.332103148851765 3.495774609060401]"
6381,stairs,"[-6.847417 2.7708894666666666 12.650962 4.25928475 2.1092915000000003
 4.737123973161533 -0.08943444815004353 -18.703505 -9.156544666666667
 1.61848 7.38730975 -8.796297500000001 5.090151463289648
 -0.4262092388246699 -11.492168 -1.3781023666666667 10.716447
 5.0649327500000005 -1.651999 4.787838981810858 0.8220376713376552]"
1021,running,"[-7.043741000000002 8.543629033333332 24.703371 13.061567 6.892907
 9.193353955735203 -0.9256544781035845 -11.434708 10.061872066666668
 27.878084 11.073183499999999 8.8130565 10.410881203035371
 -0.4845332166459446 -8.293514 1.6127344666666663 14.432248 9.161413
 1.0055649999999998 5.734572639883276 -0.637098582338302]"
9,running,"[-27.207708 -1.9991583666666661 14.283808 12.8808055 -0.4908115
 8.57418088833737 0.6829696714540181 -11.03727 6.975746233333333 22.203827
 9.756371000000001 8.054094500000001 9.329317747206208 -0.7112525311305444
 -17.673998 -0.4587289333333337 13.790602 5.4755395 -0.19153599999999998
 6.369693919973061 0.8454696502070811]"
4986,walking,"[-15.519216 -3.9086139666666666 3.701436 5.517437999999999 -2.8778305
 4.3468049659294 0.06842534448563242 -20.728998 -8.885520799999998
 13.359646 6.8545997499999975 -11.616666500000001 7.764768881984677
 1.036142633118061 -19.919758 -0.7214527000000001 19.589357 5.7161565
 0.3016695 7.722359117112289 1.5072325788826717]"
5011,walking,"[-21.571756 -4.153141766666667 4.29041 4.305972 -2.9951464999999997
 5.229772961765757 2.280244518921476 -26.168625 -8.9161667 9.988609
 5.9783212500000005 -7.994238999999999 6.585802971419969
 1.5982059565657405 -21.021091 -1.323674166666667 32.728737 4.42209
 -0.699107 8.563382235819027 7.147413323760196]"
1281,running,"[-6.019023000000002 4.7330176999999996 20.776882 9.2667575 3.2656915
 7.516143713164485 -0.651151379493955 -16.108189000000007 9.27705283333333
 34.380737 23.48831475 12.140997 15.064823175161518 -1.0124576815614954
 -39.188293 -0.8866525000000003 17.30529 9.850943 -1.6687585
 9.856510034423488 5.399123848653421]"
6461,stairs,"[-11.238382 -3.4840421333333333 3.969586 4.979939250000001 -3.4021605
 3.710439591533252 -0.5141458520230131 -17.00362 -8.297824166666667
 2.920926 7.461529250000001 -9.217676 4.9846079221997925
 -0.7138733488180566 -13.517663 -0.5139552000000001 9.255983 2.40617275
 -0.8140285 3.958194234412062 3.1826363605665797]"
726,running,"[-6.224924 7.947792066666666 36.16681 9.941922250000001 5.691017499999999
 10.81633022560068 0.3439553649252334 -16.328454999999998
 6.646782733333334 34.538754 17.8152555 6.8378405 14.02596734584682
 -0.7190390986860726 -18.847157 -1.0172164000000001 10.812215 6.89410375
 -0.5171479999999999 6.665490538240902 1.1555610146580282]"
4233,idle,"[-0.972046 -0.10997366666666665 1.249773 0.59615575 -0.20350700000000002
 0.4843606130660869 0.25314157524413616 -2.284068 5.942249266666668
 7.876924000000002 0.6308720000000001 6.773197 2.3951972679203544
 4.911703915241429 4.64954 7.026982200000001 9.749189 1.1767502500000004
 6.8115045 1.0857071888843204 0.5435229178033509]"
3353,running,"[-8.006210000000001 5.581203533333335 33.0735 9.33499275 3.521871
 9.937450069761491 1.0418355177655512 -19.938911 6.8094288 33.20279
 31.615434 7.2280955 15.847075181698612 -1.1778336686305184 -16.376339
 0.6164272666666668 9.466674 5.983109750000001 0.225055 5.230059762072698
 1.891826925150669]"
2530,running,"[-9.605537 4.863900733333335 38.54186 9.251195749999999 3.1699235
 9.787532506905482 2.8336922434066105 -12.962208 8.1686972
 34.72071500000001 19.15241625 5.6886235 12.537714703440358
 -0.6893907668959685 -8.724471000000001 1.8234240666666666 19.64203
 8.255207500000001 0.9504980000000001 6.8830755015283955
 0.3231747865109611]"
288,running,"[-8.09719 7.473580366666667 39.188293 14.671667999999999 4.7500965
 12.87769079760118 0.27805987893303774 -37.21547 7.036399366666668
 39.188293 29.99934675 5.521029500000001 17.660799374170185
 -0.2802007942516478 -8.221688 2.9818984666666664 34.620155 8.2480255
 0.675165 8.681484750657203 4.294723452798971]"
6453,stairs,"[-10.036493 -3.4401484666666664 2.987964 3.84628525 -2.9616275
 3.1619873832281566 -0.5088464760211306 -18.492813 -9.392612733333332
 1.393425 5.133168250000001 -10.726024 4.42363857102061
 -0.03764747695476567 -7.479486 -1.4398728 2.652776 2.9352914999999995
 -1.1875239999999998 2.452933206410241 0.3545667307598679]"
1296,running,"[-6.7947440000000014 8.912655333333333 37.660793 18.162414 5.7365075
 12.821972681689294 -0.34697514054430645 -15.701175 8.396944366666666
 35.11336 20.671538249999998 8.5616655 14.350595959341428
 -0.8751755862430008 -12.770672 0.5000690000000001 14.058751999999998
 9.19732625 -1.410185 7.002611999060746 -0.8340273713723327]"
4756,walking,"[-13.421895 -3.840937933333334 3.323152 3.7541087500000003
 -3.0358479999999997 3.877764557900827 -0.13561837356294681 -16.52478
 -9.537541733333333 -2.590526 4.9571945000000035 -10.065224
 3.951841519796756 -0.8316064774901566 -15.5671 -0.0648030666666665
 32.312145 3.14478425 -0.308852 7.311059674726412 10.71060837005371]"
4572,walking,"[-9.504981 -2.2637974333333335 6.378154 3.265691499999999 -2.377442
 3.2273453394391565 0.7679875069113402 -23.376986 -9.443369966666664
 3.423709 8.598775250000001 -9.229647 6.409655909751455
 -0.42457500999001674 -26.3027 -0.9045292333333336 21.648373 2.9903585
 -0.9816225000000001 8.536846379221657 3.543255858024459]"
2442,running,"[-5.904101 5.243142399999999 38.709454 8.8513635 3.842694 9.14994940809815
 3.815852235960615 -12.301409 7.3367919 38.230614 14.802151999999998
 6.9838865000000006 12.027580490542839 -0.007938467740271626
 -9.710882000000002 0.11603909999999985 13.833697 6.41765725
 0.31364050000000004 5.335316353997473 0.6092790685829499]"
3671,idle,"[-1.8579 -0.32593060000000007 0.579397 0.59376225 -0.454898
 0.46837812765938025 2.0421554304341694 4.515465 5.611051333333334
 6.6941880000000005 0.30406399999999945 5.4899045 0.4980190808354859
 -0.14944533566659146 6.363788 7.890650533333332 8.743625
 0.5626364999999991 7.963115 0.5026953019983202 0.8981891808887568]"
2959,running,"[-9.232041 2.5787150333333337 23.319525 7.77038125 2.276886
 6.954562655701931 0.8750560639194886 -8.604761 9.010817533333332
 28.060043 18.556260249999998 7.790732499999999 10.807847832468017
 -1.0886145189750138 -5.272032 3.9397387000000004 19.306843 8.79988825
 2.1428105 6.6626790020316005 -0.4453067424697852]"
982,running,"[-6.110002 5.327896966666667 37.703888 6.499061 2.9328975 9.8548420550688
 3.536383199576469 -12.660539 4.889917666666666 24.195803 11.878832
 6.821081000000001 9.111076480395012 -0.5279355842063866 -10.472239
 3.913721866666667 33.95936 11.6992665 -1.13964 10.882657095242108
 1.0416591487221476]"
6148,walking,"[-15.112201 -1.605232266666667 5.971139 4.3694175 -0.6991065000000001
 4.233135724225253 2.370556803504398 -18.478449 -8.946493233333335
 2.667141 6.088455500000001 -8.868123 4.751372113178127
 -0.2731696291508485 -25.94357 -1.0435525333333333 14.288595999999998
 4.3610377499999995 -0.3734955 6.2977689054306145 6.625357899190435]"
1852,running,"[-4.371812 7.936140233333333 34.538754 9.14106175 5.1523225
 9.68015679519538 0.6352570947097753 -15.514427 5.668671600000001
 24.214956 16.78814175 8.3413985 11.140884407299309 -0.925187501432609
 -6.009446 3.1697634 27.35136 10.3297835 0.4213795 7.447040626224023
 1.4760015338991312]"
2573,running,"[-7.508216 5.792850899999999 36.027946 14.06473825 2.60968
 11.226095414263336 0.6821463166077537 -14.647726 8.653123933333331
 39.188293 21.97757475 7.5297645000000015 14.789151328104703
 -0.7718205827548092 -11.252748 0.8751607 34.25145 6.76122575 -1.6879125
 8.594300539243552 5.2478147920058085]"
1354,running,"[-5.118803 6.563304966666665 24.363396 9.93474025 5.999869500000001
 7.601192563579733 -0.4613567540916095 -12.459426 8.473399100000002
 27.547686 13.94981575 9.646238499999999 11.374617636280647
 -0.7522680715331949 -13.01488 0.9445925999999998 19.033903
 4.924872499999999 0.2561795 6.081119602758457 1.824945843204084]"
6019,walking,"[-14.025232999999998 -2.9951461666666663 2.576161 4.64594825 -1.9057845
 3.954883465214182 1.0280687850781431 -16.242264000000002
 -8.728940166666668 -1.024718 6.816292500000001 -8.4204075
 4.4505830586077675 -1.0440551834046967 -14.633361 -1.1262324 32.26905
 5.13795625 -1.1300629999999998 7.5355187778585435 10.456292385738795]"
5537,walking,"[-16.050728 -3.3137346000000005 2.456451 5.6084172500000005 -2.528277
 4.543606708506966 0.49266489968378613 -21.973984 -8.784964400000002
 -0.402226 9.704896999999999 -8.449138000000001 5.420143676487808
 -0.5610024502313111 -19.9437 -0.8220090666666666 17.78892 5.20020575
 -0.392649 6.019739313109336 4.3032021423276685]"
